elapsed_ms,temperature_c
1,182.75
13,182.75
26,182.75
39,182.75
51,182.75
63,182.75
76,182.75
89,182.75
102,182.75
114,182.75
197,183.0625
210,183.0625
223,183.0625
236,183.0625
249,183.0625
262,183.0625
275,183.0625
288,183.0625
301,183.0625
314,183.0625
397,183.0625
410,183.0625
424,183.0625
437,183.0625
451,183.0625
465,183.0625
539,183.875
553,183.875
566,183.875
580,183.875
593,183.875
607,183.875
683,183.875
697,183.875
710,183.875
724,183.875
738,183.875
751,183.875
827,196.5625
841,196.5625
855,196.5625
913,196.5625
968,196.5625
1022,196.5625
1076,196.5625
1195,204.6875
1249,204.6875
1304,204.6875
1359,204.6875
1416,204.6875
1471,221.8125
1525,221.8125
1580,221.8125
1633,221.8125
1687,221.8125
1745,221.8125
1800,229.9375
1853,229.9375
1977,229.9375
2032,229.9375
2088,229.9375
2143,237.3125
2197,237.3125
2252,237.3125
2308,237.3125
2362,237.3125
2417,237.3125
2471,252.75
2527,252.75
2582,252.75
2637,252.75
2762,252.75
2817,259.5625
2873,259.5625
2928,259.5625
2985,259.5625
3039,259.5625
3095,259.5625
3151,273.5
3207,273.5
3262,273.5
3318,273.5
3373,273.5
3430,273.5
3555,281.25
3611,281.25
3667,281.25
3723,281.25
3778,288.8125
3835,288.8125
3891,288.8125
3947,288.8125
4002,288.8125
4058,288.8125
4115,300.5625
4170,300.5625
4226,300.5625
4352,300.5625
4410,300.5625
4466,306.75
4522,306.75
4578,306.75
4636,306.75
4694,306.75
4751,306.75
4808,313.3125
4864,313.3125
4921,313.3125
4977,313.3125
5035,313.3125
5162,325.25
5219,325.25
5276,325.25
5333,325.25
5390,325.25
5447,330.75
5505,330.75
5562,330.75
5619,330.75
5677,330.75
5734,330.75
5792,342.0625
5851,342.0625
5978,342.0625
6036,342.0625
6094,347.3125
6152,347.3125
6210,347.3125
6267,347.3125
6326,347.3125
6384,347.3125
6444,352.1875
6502,352.1875
6561,352.1875
6619,352.1875
6678,352.1875
6805,362.4375
6863,362.4375
6922,362.4375
6982,362.4375
7040,362.4375
7100,367.5625
7159,367.5625
7218,367.5625
7277,367.5625
7337,367.5625
7395,367.5625
7454,377.4375
7513,377.4375
7642,377.4375
7702,377.4375
7763,381.75
7822,381.75
7882,381.75
7941,381.75
8001,381.75
8061,381.75
8121,385.875
8181,385.875
8242,385.875
8303,385.875
8364,385.875
8494,393.3125
8555,393.3125
8616,393.3125
8675,393.3125
8736,397.125
8797,397.125
8857,397.125
8916,397.125
8979,397.125
9038,397.125
9099,403.5
9160,403.5
9221,403.5
9350,403.5
9412,406.5625
9473,406.5625
9534,406.5625
9595,406.5625
9656,406.5625
9716,406.5625
9777,409.375
9840,409.375
9902,409.375
9962,409.375
10023,409.375
10084,413.9375
10216,413.9375
10277,413.9375
10338,413.9375
10400,415.375
10461,415.375
10522,415.375
10584,415.375
10645,415.375
10708,415.375
10769,418.5
10831,418.5
10892,418.5
10953,418.5
11083,423.3125
11145,423.3125
11207,423.3125
11269,423.3125
11331,423.3125
11393,424.5625
11455,424.5625
11517,424.5625
11578,424.5625
11639,424.5625
11700,424.5625
11762,428.4375
11824,428.4375
11955,428.4375
12017,428.4375
12080,430.6875
12142,430.6875
12205,430.6875
12268,430.6875
12330,430.6875
12392,433.0625
12455,433.0625
12518,433.0625
12581,433.0625
12643,433.0625
12706,435.0625
12838,435.0625
12903,435.0625
12966,435.0625
13031,435.0625
13094,436.8125
13158,436.8125
13222,436.8125
13287,436.8125
13350,436.8125
13414,440.4375
13478,440.4375
13542,440.4375
13606,440.4375
13739,441.9375
13803,441.9375
13867,441.9375
13932,441.9375
13996,441.9375
14061,444.0
14125,444.0
14191,444.0
14259,444.0
14325,444.0
14390,448.6875
14455,448.6875
14520,448.6875
14653,448.6875
14718,451.125
14783,451.125
14853,451.125
14919,451.125
14985,451.125
15051,455.0
15116,455.0
15182,455.0
15246,455.0
15312,455.0
15377,456.875
15442,456.875
15578,456.875
15643,456.875
15709,458.875
15777,458.875
15842,458.875
15908,458.875
15974,458.875
16041,463.9375
16107,463.9375
16174,463.9375
16240,463.9375
16307,463.9375
16373,465.5
16508,465.5
16575,465.5
