elapsed_ms,temperature_c
0,156.0
13,156.0
26,156.0
39,156.0
121,156.0
134,156.0
147,156.0
160,156.0
173,156.0
186,156.0
199,156.0
212,156.0
224,156.0
237,155.0625
250,155.0625
337,155.0625
350,155.0625
363,155.0625
376,155.0625
389,155.0625
403,155.0625
416,155.0625
494,155.0625
508,155.0625
521,155.0625
535,155.0625
549,154.5
623,154.5
636,154.5
649,154.5
662,154.5
676,154.5
751,154.5
765,154.5
778,154.5
792,154.5
805,154.5
881,155.0
894,155.0
908,155.0
922,155.0
935,155.0
1011,155.0
1025,155.0
1039,155.0
1112,155.0
1169,155.0
1222,155.6875
1276,155.6875
1330,155.6875
1384,155.6875
1437,155.6875
1492,155.6875
1546,157.4375
1665,157.4375
1718,157.4375
1773,157.4375
1826,157.4375
1879,157.8125
1934,157.8125
1988,157.8125
2042,157.8125
2098,157.8125
2151,157.8125
2205,158.875
2329,158.875
2382,158.875
2436,158.875
2489,158.875
2543,160.75
2597,160.75
2653,160.75
2707,160.75
2761,160.75
2816,160.75
2870,161.0625
2990,161.0625
3043,161.0625
3098,161.0625
3154,161.0625
3209,161.625
3264,161.625
3318,161.625
3371,161.625
3424,161.625
3478,161.625
3533,161.5625
3657,161.5625
3711,161.5625
3767,161.5625
3822,161.5625
3878,161.0
3933,161.0
3986,161.0
4042,161.0
4098,161.0
4154,161.0
4210,161.25
4333,161.25
4389,161.25
4446,161.25
4500,161.6875
4558,161.6875
4614,161.6875
4670,161.6875
4726,161.6875
4783,161.6875
4840,163.8125
4897,163.8125
5023,163.8125
5080,163.8125
5136,163.8125
5194,163.9375
5249,163.9375
5306,163.9375
5363,163.9375
5420,163.9375
5477,163.9375
5533,164.8125
5591,164.8125
5716,164.8125
5773,164.8125
5831,167.0625
5890,167.0625
5947,167.0625
6005,167.0625
6063,167.0625
6121,167.0625
6179,167.6875
6236,167.6875
6294,167.6875
6422,167.6875
6480,168.4375
6538,168.4375
6597,168.4375
6655,168.4375
6713,168.4375
6770,168.4375
6828,169.0625
6885,169.0625
6944,169.0625
7003,169.0625
7129,169.0625
7187,169.5
7246,169.5
7304,169.5
7363,169.5
7421,169.5
7481,170.125
7541,170.125
7600,170.125
7658,170.125
7717,170.125
7845,170.3125
7904,170.3125
7964,170.3125
8024,170.3125
8083,170.3125
8142,170.3125
8202,170.3125
8262,170.3125
8322,170.3125
8381,170.3125
8441,170.3125
8568,169.5625
8628,169.5625
8687,169.5625
8747,169.5625
8808,168.5
8869,168.5
8928,168.5
8988,168.5
9050,168.5
9111,168.5
9170,166.125
9299,166.125
9357,166.125
9419,166.125
9478,164.625
9539,164.625
9599,164.625
9659,164.625
9719,164.625
9780,164.625
9841,163.0625
9902,163.0625
10031,163.0625
10093,163.0625
10154,160.375
10215,160.375
10276,160.375
10337,160.375
10398,160.375
10460,158.875
10520,158.875
10581,158.875
10641,158.875
10771,158.875
10832,155.875
10892,155.875
10953,155.875
11014,155.875
11075,155.875
11137,155.1875
11198,155.1875
11259,155.1875
11320,155.1875
11382,155.1875
11511,155.0625
11571,155.0625
11633,155.0625
11693,155.0625
11753,155.0625
11815,155.4375
11878,155.4375
11940,155.4375
12001,155.4375
12064,155.4375
12125,156.0
12257,156.0
12319,156.0
12382,156.0
12444,156.875
12507,156.875
12570,156.875
12632,156.875
12695,156.875
12756,156.875
12819,156.8125
12882,156.8125
13015,156.8125
13078,156.8125
13140,157.6875
13203,157.6875
13266,157.6875
13330,157.6875
13394,157.6875
13458,157.8125
13523,157.8125
13586,157.8125
13650,157.8125
