elapsed_ms,temperature_c
0,110.625
92,109.0
105,109.0
117,109.0
130,109.0
143,109.0
156,109.0
169,109.0
181,109.0
193,109.0
206,109.0
300,109.0
313,109.0
326,109.0
339,109.0
352,108.0
365,108.0
378,108.0
391,108.0
404,108.0
417,108.0
513,108.0
526,108.0
539,108.0
552,108.0
566,108.0
649,108.0
662,109.75
675,109.75
688,109.75
701,109.75
785,109.75
798,109.75
812,109.75
825,109.75
839,109.75
922,109.75
936,109.75
950,109.75
963,109.75
977,121.875
1062,121.875
1075,121.875
1089,121.875
1103,121.875
1261,121.875
1315,128.6875
1368,128.6875
1422,128.6875
1476,128.6875
1530,128.6875
1583,128.6875
1636,142.3125
1690,142.3125
1745,142.3125
1798,142.3125
1853,142.3125
1906,142.3125
2016,149.0
2070,149.0
2124,149.0
2178,149.0
2232,149.0
2286,155.6875
2340,155.6875
2394,155.6875
2449,155.6875
2503,155.6875
2558,155.6875
2613,169.1875
2668,169.1875
2722,169.1875
2835,169.1875
2891,169.1875
2946,176.0625
3000,176.0625
3055,176.0625
3110,176.0625
3165,176.0625
3219,176.0625
3275,182.75
3330,182.75
3385,182.75
3439,182.75
3494,182.75
3549,182.75
3662,195.875
3718,195.875
3775,195.875
3831,195.875
3889,195.875
3945,202.0
4001,202.0
4058,202.0
4114,202.0
4170,202.0
4226,202.0
4282,213.4375
4338,213.4375
4395,213.4375
4508,213.4375
4565,213.4375
4621,218.5625
4677,218.5625
4735,218.5625
4792,218.5625
4848,218.5625
4907,224.0
4964,224.0
5021,224.0
5080,224.0
5136,224.0
5193,224.0
5249,234.75
5364,234.75
5422,234.75
5479,234.75
5537,234.75
5593,240.125
5651,240.125
5707,240.125
5765,240.125
5823,240.125
5880,240.125
5937,245.5
5994,245.5
6052,245.5
6110,245.5
6225,255.4375
6284,255.4375
6342,255.4375
6400,255.4375
6458,255.4375
6516,255.4375
6573,260.25
6632,260.25
6690,260.25
6747,260.25
6804,260.25
6862,260.25
6921,269.25
6979,269.25
7094,269.25
7152,269.25
7209,269.25
7267,273.5625
7325,273.5625
7385,273.5625
7443,273.5625
7502,273.5625
7562,277.625
7622,277.625
7680,277.625
7739,277.625
7799,277.625
7856,277.625
7971,285.1875
8029,285.1875
8087,285.1875
8144,285.1875
8202,285.1875
8261,289.375
8319,289.375
8377,289.375
8435,289.375
8494,289.375
8553,297.25
8613,297.25
8671,297.25
8728,297.25
8843,297.25
8902,301.0
8962,301.0
9022,301.0
9080,301.0
9140,301.0
9200,304.625
9261,304.625
9321,304.625
9381,304.625
9441,304.625
9500,304.625
9560,311.0
9619,311.0
9737,311.0
9797,311.0
9857,313.9375
9918,313.9375
9978,313.9375
10040,313.9375
10101,313.9375
10162,313.9375
10223,317.1875
10284,317.1875
10344,317.1875
10405,317.1875
10466,317.1875
10527,322.9375
10647,322.9375
10709,322.9375
10770,322.9375
10834,322.9375
10894,325.0
10957,325.0
11019,325.0
11081,325.0
11143,325.0
11204,330.625
11266,330.625
11327,330.625
11390,330.625
11451,330.625
11571,333.4375
11632,333.4375
11694,333.4375
11756,333.4375
11818,333.4375
11880,336.125
11943,336.125
12004,336.125
12066,336.125
12128,336.125
12191,341.5625
12253,341.5625
12316,341.5625
12379,341.5625
12500,341.5625
12563,344.125
12626,344.125
12689,344.125
12752,344.125
12814,344.125
12877,348.1875
12939,348.1875
13002,348.1875
13064,348.1875
13128,348.1875
13190,350.1875
13253,350.1875
13315,350.1875
13437,350.1875
13501,352.0625
13565,352.0625
13630,352.0625
13694,352.0625
13757,352.0625
13822,352.0625
13886,356.3125
13950,356.3125
14015,356.3125
14078,356.3125
14142,356.3125
14206,357.5625
14271,357.5625
14393,357.5625
14456,357.5625
14520,360.9375
14585,360.9375
14650,360.9375
14714,360.9375
14779,360.9375
14844,362.5625
14909,362.5625
14974,362.5625
15039,362.5625
15104,362.5625
15167,364.5
15231,364.5
15352,364.5
15416,364.5
15482,367.375
15547,367.375
15612,367.375
15677,367.375
15742,367.375
15806,367.375
15875,369.0625
15941,369.0625
16007,369.0625
16072,369.0625
16138,369.0625
16204,371.6875
16326,371.6875
16392,371.6875
16458,371.6875
16524,373.1875
16590,373.1875
16656,373.1875
16723,373.1875
16790,373.1875
16857,374.25
16924,374.25
16990,374.25
17056,374.25
17123,374.25
17189,376.4375
17313,376.4375
17380,376.4375
17446,376.4375
17513,377.75
17579,377.75
17647,377.75
17713,377.75
17780,377.75
17848,379.6875
17916,379.6875
17984,379.6875
18051,379.6875
18118,379.6875
18185,382.625
18309,382.625
18416,382.625
18468,382.625
18521,383.4375
18573,383.4375
18626,383.4375
18677,383.4375
18729,383.4375
18781,383.4375
18833,386.125
18886,386.125
18940,386.125
18991,386.125
19043,386.125
19153,387.75
19205,387.75
19258,387.75
19310,387.75
19363,387.75
19415,387.75
19467,389.3125
19521,389.3125
19574,389.3125
19628,389.3125
19682,389.3125
19735,389.3125
19789,389.3125
19841,391.625
19951,391.625
20004,391.625
20057,391.625
20110,391.625
20162,392.1875
20217,392.1875
20269,392.1875
20322,392.1875
20378,392.1875
20432,392.1875
